name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Grind Stone,a,grind stone,?,17617,Other Items,Quest Items,-,9.80,no,yes,yes,-,-,-,-,-,-,4.00,-,no,-,Negotiable,0,0,-,-,If you lost this item you can ask [[Norman The Foreman]] for another.\nUsed in a mission of the [[Venore Daily Tasks Quest]].,-,-,-,-,-,-,Resupply the pathfinder crew with tools and new moral.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guardcatcher,a,guardcatcher,?,17669,Other Items,Quest Items,-,9.80,no,yes,yes,-,-,-,-,-,-,8.00,-,-,-,0 - 200,0,200,Rafzan,-,Temporarily obtained in the [[Goblin Merchant Quest]].,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hallowed Bone,a,hallowed bone,?,19089,Other Items,Quest Items,-,10.10,no,yes,yes,-,-,-,-,-,-,9.50,-,-,-,Negotiable,0,0,-,-,Once it was a [[Yellowed Bone]].\nObtained and used during [[The Gravedigger of Drefia Quest]].,-,-,-,yes,-,-,A human bone glowing in a dark light. It tingles unpleasantly when you touch it.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hammer of Carving,a,hammer of carving,hammers of carving,23323,Weapons,Club Weapons,Both Hands,10.94,no,yes,yes,100,knights,3,-,-,-,70.00,no,yes,-,Negotiable,0,50 [[Gold Token]]s,Yana: 50 [[Gold Token]]s,-,[[Yana]] will trade you one for 50 [[Gold Token]]s.,"It could be enchanted with the [[Mana Leech]] bonus by asking Yana for it till [[Updates/11.40|Summer Update 2017]]. There were three levels of charging:\n*{{Ilink|Hammer of Carving (Charged)}} [[Hammer of Carving (Charged)]]\n*{{Ilink|Hammer of Carving (Heavily Charged)}} [[Hammer of Carving (Heavily Charged)]]\n*{{Ilink|Hammer of Carving (Overcharged)}} [[Hammer of Carving (Overcharged)]]\nOn the same update, this weapon received 3 imbuing slots and its attack and defense values were adjusted to the to values of its heavily charged version.\n\nWith the [[Updates/11.50|Winter Update 2017]], Hammer of Carving, Hammer of Mayhem and Hammer of Remedy were merged into {{ilink|Hammer of Destruction}} [[Hammer of Destruction]].",30,-,yes,unavailable,-,-,-,53,-,-,Two,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hammer of Mayhem,a,hammer of mayhem,hammers of mayhem,23228,Weapons,Club Weapons,Both Hands,10.94,no,yes,yes,100,knights,3,-,-,-,70.00,no,yes,-,Negotiable,0,50 [[Gold Token]]s,Yana:50 [[Gold Token]]s,-,[[Yana]] will trade you one for 50 [[Gold Token]]s.,"It could be charged with the [[Critical Hits]] bonus by asking Yana for it till [[Updates/11.40|Summer Update 2017]]. There were three levels of charging:\n*{{Ilink|Hammer of Mayhem (Charged)}} [[Hammer of Mayhem (Charged)]]\n*{{Ilink|Hammer of Mayhem (Heavily Charged)}} [[Hammer of Mayhem (Heavily Charged)]]\n*{{Ilink|Hammer of Mayhem (Overcharged)}} [[Hammer of Mayhem (Overcharged)]]\nOn the same update, this weapon received 3 imbuing slots and its attack and defense values were adjusted to the to values of its heavily charged version.\n\nWith the [[Updates/11.50|Winter Update 2017]], Hammer of Carving, Hammer of Mayhem and Hammer of Remedy were merged into {{ilink|Hammer of Destruction}} [[Hammer of Destruction]].",30,-,yes,unavailable,-,-,-,53,-,-,Two,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hatched Rorc Egg,a,hatched rorc egg,?,18997,"Plants, Animal Products, Food and Drink",Creature Products,-,10.10,no,yes,yes,-,-,-,-,-,-,1.50,yes,yes,Rorc,Negotiable,30,0,-,"Yasir, Malunga",{{CreatureProductNotes}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haunted Mirror Piece,a,haunted mirror piece,?,19373,Body Equipment,Shields,Shield Hand,10.20,no,yes,yes,-,-,1,-,-,-,28.00,-,yes,The Pale Count,"5,000,000 - 10,000,000",0,0,-,-,A very rare item indeed.[[File:Haunted_mirror_piece.jpg|thumb|Haunted Mirror Piece on Inferna]],-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Head of Abyssador,a,head of Abyssador,?,16231,Other Items,Quest Items,-,9.60,no,yes,yes,-,-,-,-,-,-,9.00,no,yes,-,Negotiable.,0,0,-,-,Bring all pieces of the set to [[Gnomally]] to have the [[Statue of Abyssador]] reconstructed.\n\nRarely obtained by opening [[Abyssador]]'s treasure chest.,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Head of Deathstrike,a,head of Deathstrike,?,16235,Other Items,Quest Items,-,9.60,no,yes,yes,-,-,-,-,-,-,4.00,no,yes,-,Negotiable.,0,0,-,-,Bring all pieces of the set to [[Gnomally]] to have the [[Statue of Deathstrike]] reconstructed.\n\nRarely obtained by opening [[Deathstrike]]'s treasure chest.,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Head of Gnomevil,a,head of Gnomevil,?,16239,Other Items,Quest Items,-,9.60,no,yes,yes,-,-,-,-,-,-,6.00,no,yes,-,Negotiable.,0,0,-,-,Bring all pieces of the set to [[Gnomally]] to have the [[Statue of Gnomevil]] reconstructed.\n\nRarely obtained by opening [[Gnomevil]]'s treasure chest.,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heat Core,a,heat core,?,21167,Body Equipment,Armors,Body,10.50,no,yes,yes,-,-,2,2,-,12,55.00,no,yes,Control Tower | Glooth Brigand | Glooth Fairy | Glooth Golem | Memory of a Golem,Negotiable,10000,0,-,Flint;rath-inhabit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heavily Rusted Helmet,a,heavily rusted helmet,-,8906,Other Items,Valuables,-,8.40,no,yes,yes,-,-,-,-,-,-,52.00,no,yes,-,Negotiable,0,0,-,-,"Information about this item can be found in [[Market]] and [[Cyclopedia]]. However, it hasn't been obtained in-game yet, therefore this is believed to be an [[Unobtainable Items|Unobtainable Item]]. Using a [[Flask of Rust Remover]] on it will probably remove the rust and uncover a helmet. There might be a chance the helmet will fall apart upon trying to do so.<br />\nSuccessfully polishing this item will probably count towards the [[Polisher]] [[achievement]].",-,-,-,-,-,-,If you can remove the rust layer and dirt from the helmet you will be able to see what it is.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heavily Rusted Shield,a,heavily rusted shield,-,8900,Other Items,Valuables,-,8.40,no,yes,yes,-,-,-,-,-,-,65.00,no,yes,-,Negotiable,0,0,-,-,"Information about this item can be found in [[Market]]. However, it hasn't been obtained in-game yet, therefore this is believed to be an [[Unobtainable Items|Unobtainable Item]]",-,-,-,-,-,-,If you can remove the rust layer and dirt from the shield you will be able to see what it is.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heavy Magic Missile Rune (Weak),a,heavy magic missile rune,?,22030,Runes,Attack Runes,-,-,no,-,yes,25,-,-,-,-,-,0.21,yes,yes,-,Negotiable,0,12,"Asima, Chartan, Chuckles, Fenech, Frans, Frederik, Gnomegica, Nelly, Rabaz, Rachel, Rock In A Hard Place, Romir, Shiriel, Siflind, Sigurd, Tandros, Topsy, Xodet",-,"This weaker variant of [[Heavy Magic Missile Rune]] was supposed to be implemented in the [[Summer Update 2015]], but [[Cipsoft]] decided to postpone the change for an unknown amount of time.",-,-,-,yes,TS-only,-,-,-,-,-,-,-,-,-,Area Runes,-,-,-,-,-,-,-,-,-,-,-,-,adori vis,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heavy Stone Hammer,a,-,-,22681,Other Items,Quest Items,-,10.90,no,yes,yes,-,-,-,-,-,-,28.00,no,no,-,Negotiable,0,0,-,-,A make-shift hammer that feels rather heavy. Can occasionally be found by [[use|using]] a [[Dead Goblin (Fresh Quest)]] or [[Dead Goblin (Decaying Quest)]]. Part of the [[Krailos Quest]].,-,-,-,yes,-,-,It's a wonder a goblin might ever be able to lift this massive thing.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Helmet of the Lost,a,helmet of the lost,?,17852,Body Equipment,Helmets,Head,9.80,no,yes,yes,-,-,2,2,-,7,35.00,-,yes,Lost Thrower,Negotiable,2000,0,-,Rashid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hemp Rope,a,hemp rope,?,20206,"Plants, Animal Products, Food and Drink",Creature Products,-,10.30,no,yes,yes,-,-,-,-,-,-,1.90,yes,yes,Choking Fear,Negotiable,350,0,-,"Asnarus, Yasir",Its only purpose is to be sold to NPCs. It has a high gold-to-oz ratio.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Clothing Accessories,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hideous Chunk,a,hideous chunk,?,16140,"Plants, Animal Products, Food and Drink",Creature Products,-,9.60,no,yes,yes,-,-,-,-,-,-,1.60,yes,yes,Hideous Fungus,Negotiable,510,0,-,"Fiona, Yasir",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Holy Ash,a,holy ash,?,17850,"Plants, Animal Products, Food and Drink",Creature Products,-,9.80,no,yes,yes,-,-,-,-,-,-,1.90,yes,yes,Lost Exile | Lost Husher,0 - 160,160,0,-,"Fiona, Yasir","It can be sold to NPCs and as with other creature products, it has among the highest gold-to-oz ratio of all items.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Holy Missile Rune (Weak),a,holy missile rune,?,22035,Runes,Attack Runes,-,-,no,-,yes,27,-,-,-,-,-,0.42,yes,yes,-,Negotiable,0,16,"Alexander, Rock In A Hard Place",-,"This weaker variant of [[Holy Missile Rune]] was supposed to be implemented in the [[Summer Update 2015]], but [[Cipsoft]] decided to postpone the change for an unknown amount of time.",-,-,-,yes,TS-only,-,-,-,-,-,-,-,-,-,Area Runes,-,-,-,-,-,-,-,-,-,-,-,-,adori san,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hopgoblin's Broken Staff,-,Hopgoblin's broken staff,-,22712,Other Items,Quest Items,-,10.90,no,yes,yes,-,-,-,-,-,-,1.28,-,no,-,Negotiable,0,0,-,-,It once belonged to the great goblin Hopgoblin.<br />It looks the same as a [[Broken Shamanic Staff]].\nPart of the [[Krailos Quest]].,-,-,-,no,-,-,"It's neatly broken into several pieces, all of them carefully wrapped into a soft leather hide.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Horn (Ring),a,horn,?,19359,Body Equipment,Rings,Finger,10.20,no,yes,yes,-,-,-,-,-,1,1.20,-,yes,White Pale,Negotiable,300,0,-,Rashid,"Like [[Death Ring]], has an Arm of 1. Unlike Death Ring, however, this ring does not wear out.","It used to be the only permanent ring providing [[armor]] until the implementation of the [[Butterfly Ring]]. This made its value, which used to be high because of its rarity, drop significantly.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Horoscope,a,horoscope,?,18926,"Plants, Animal Products, Food and Drink",Creature Products,-,10.10,no,yes,yes,-,-,-,-,-,-,2.80,yes,yes,Blood Hand | Blood Priest | Shadow Pupil,Negotiable,40,0,-,"Yasir, Malunga",{{CreatureProductNotes}},-,-,-,-,-,-,"A personal horoscope, inscribed with comments and formulas.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hot Firecatcher Urn,a,hot firecatcher urn,?,19149,Other Items,Quest Items,-,10.10,no,yes,yes,-,-,-,-,-,-,1.50,-,-,-,Negotiable,0,0,-,-,Obtained and used during [[The Repenters Quest]].,-,-,-,yes,-,-,This special urn is brimming with harmless flames gathered from the ashes of fire elementals.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
House Silversun's Signet Ring,-,House Silversun's signet ring,?,22170,Tools and other Equipment,Rings,Finger,10.90,no,yes,yes,-,-,-,-,-,-,4.50,-,no,-,Negotiable,0,0,-,-,It looks the same as a [[Crystal Ring]] and [[Crystal Ring (Eleonore)|Eleonore's Crystal Ring]].\nItem temporarily obtained during [[Ferumbras' Ascension Quest]].,-,-,-,yes,-,-,It depicts a small silver sun with many rays of light.,-,-,-,-,-,-,-,Quest Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Humongous Chunk,a,humongous chunk,?,16139,"Plants, Animal Products, Food and Drink",Creature Products,-,9.60,no,yes,yes,-,-,-,-,-,-,1.90,yes,yes,Humongous Fungus,Negotiable,540,0,-,"Fiona, Yasir","A creature product with no practical use at present. It can be sold to NPCs and as with other creature products, it has among the highest gold-to-oz ratio of all items.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hyaena Trap,a,hyaena trap,-,22662,Other Items,Quest Items,-,10.90,no,yes,yes,-,-,-,-,-,-,2.00,no,no,-,Negotiable,0,0,-,-,It is perfect to catch a [[Hyaena]] with.<br />It looks the same as a [[Tarantula Trap]] and [[Net (Fishing)]].\nPart of the [[Krailos Quest]].,-,-,-,yes,-,-,It is a roughly woven net made of cactus tree fibres.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ice Cube (Head),an,ice cube,ice cubes,7442,Household Items,Decorations,-,8.00,no,yes,yes,-,-,-,-,-,-,20.00,-,yes,-,Negotiable.,0,0,-,-,"You have a chance to carve it after using an [[Obsidian Knife]] on an [[Ice Cube]].<br />Continue carving in order to reach the [[Ice Cube (Tusks)|next stage]] of an Ice Cube.\n\nSee more information on this topic inside of the research article by [[Tibia-Stats]], [https://web.archive.org/web/20210128140920/http://www.tibia-stats.com/index.php?akcja=6003&research=icecube here].<br />{{Seealso|Ice Cube/Sculpting Statistics|Ice Cube|Ice Cube (Tusks)|Ice Cube (Mammoth)|Ice Mammoth}}\nYou will obtain an achievement [[Ice Sculptor]] by carving an [[Ice Mammoth]] out of an [[Ice Cube (Mammoth)]].",-,-,-,yes,-,-,There is a rough shape of a head.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ice Cube (Mammoth),an,ice cube,ice cubes,7445,Household Items,Decorations,-,8.00,no,yes,yes,-,-,-,-,-,-,20.00,-,yes,-,Negotiable.,0,0,-,-,"You have a chance to carve it after using an [[Obsidian Knife]] on an [[Ice Cube (Tusks)]].<br />Continue carving in order to reach the [[Ice Mammoth|final stage]] of an Ice Cube.\n\nSee more information on this topic inside of the research article by [[Tibia-Stats]], [https://web.archive.org/web/20210128140920/http://www.tibia-stats.com/index.php?akcja=6003&research=icecube here].<br />{{Seealso|Ice Cube/Sculpting Statistics|Ice Cube|Ice Cube (Head)|Ice Cube (Tusks)|Ice Mammoth}}\nYou will obtain an achievement [[Ice Sculptor]] by carving an [[Ice Mammoth]] out of an Ice Cube (Mammoth).",-,-,-,yes,-,-,There is a rough shape of a mammoth.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ice Cube (Tusks),an,ice cube,ice cubes,7444,Household Items,Decorations,-,8.00,no,yes,yes,-,-,-,-,-,-,20.00,-,yes,-,Negotiable.,0,0,-,-,"You have a chance to carve it after using an [[Obsidian Knife]] on an [[Ice Cube (Head)]].<br />Continue carving in order to reach the [[Ice Cube (Mammoth)|next stage]] of an Ice Cube.\n\nSee more information on this topic inside of the research article by [[Tibia-Stats]], [https://web.archive.org/web/20210128140920/http://www.tibia-stats.com/index.php?akcja=6003&research=icecube here].<br />{{Seealso|Ice Cube/Sculpting Statistics|Ice Cube|Ice Cube (Head)|Ice Cube (Mammoth)|Ice Mammoth}}\nYou will obtain an achievement [[Ice Sculptor]] by carving an [[Ice Mammoth]] out of an [[Ice Cube (Mammoth)]].",-,-,-,yes,-,-,There is a rough shape of a head with tusks.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Icicle Bow,an,icicle bow,?,19362,Weapons,Distance Weapons,Both Hands,10.20,no,yes,yes,0,-,3,2,-,-,42.00,-,yes,Hirintror | Gelidrazah the Frozen,Negotiable,0,0,-,-,"Used to be a very rare item as it was only dropped by the boss [[Hirintror]]. As of the 20th anniversary of Tibia, it is also dropped by [[Gelidrazah the Frozen]], dramaticly decreasing the price.\n<gallery mode=""nolines"">\nIcicle bow.jpg\n</gallery>",-,-,-,-,-,-,-,-,-,-,-,Two,Distance,-,Bows,-,-,-,-,-,6,1,+4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Icicle Rune (Weak),an,icicle rune,?,22034,Runes,Attack Runes,-,-,no,-,yes,28,-,-,-,-,-,0.42,yes,yes,-,15-30,0,30,"Alexander, Rock In A Hard Place",-,"This weaker variant of [[Icicle Rune]] was supposed to be implemented in the [[Summer Update 2015]], but [[Cipsoft]] decided to postpone the change for an unknown amount of time.",-,-,-,yes,TS-only,-,-,-,-,-,-,-,-,-,Area Runes,-,-,-,-,-,-,-,-,-,-,-,-,adori frigo,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Icy Culottes,-,icy culottes,icy culottes,19366,Body Equipment,Legs,Legs,10.20,no,yes,yes,-,sorcerers and druids,-,4,-,8,15.00,-,yes,Zushuka,"20,000,000 - 50,000,000",0,0,-,-,"Much better than a [[Glacier Kilt]], which has a level restriction (40+), 2% less ice protection and -6% energy protection. The rarity and the stats makes it a very valuable item.","It was renamed from ""Icy Culotte"" to ""Icy Culottes"" in [[Updates/10.55|Update 10.55]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ice +8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Golden Newspaper (Replica),a,golden newspaper,golden newspapers,23681,Household Items,Valuables,-,10.97,no,yes,yes,-,-,-,-,-,-,24.00,-,yes,-,Negotiable,0,20,Jorge,-,You can obtain this item by trading 20 [[Silver Raid Token]]s with [[Jorge]]. This is a replica of a [[Golden Newspaper]].,-,-,-,yes,-,-,Souvenir from Thais Museum.,-,-,-,-,-,-,-,Replicas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[[Silver Raid Token]]s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Golden Symbol of Suon,-,golden symbol of Suon,-,27499,Other Items,Quest Items,-,11.50.6055,no,yes,yes,-,-,-,-,-,-,20.00,-,no,-,"10,000",0,10000,Black Bert,-,Part of the {{Spoiler Section|Grimvale Quest|The Curse Spreads}}.,-,-,-,yes,-,-,"The aureola represents Suon the Benevolent Sun, one of the Tibian sun gods.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Golden Talon,a,golden talon,golden talons,24968,"Plants, Animal Products, Food and Drink",Creature Products,-,11.02.4128,no,yes,yes,-,-,-,-,-,-,6.50,no,yes,Soul of Dragonking Zyrtarch,Negotiable,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goromaphone,a,Goromaphone,-,"26085, 26086",Household Items,Fansite Items,-,11.40.5409,no,yes,yes,-,-,-,-,-,-,66.60,-,no,-,Negotiable,0,0,-,-,"This is [[RadioGoroma]]'s fansite item. If you ''use'' it, it will turn into a [[Goromaphone (Activated)]] [[File:Goromaphone (Activated).gif]] for a few seconds.\n\nIts replica is the [[Goromaphone (Replica)]].\n",-,-,-,yes,-,"{{Sound List|It's the Eye of the Panther!|You are now listening to 66.6 RadioGoroma FM! Your Tibian Radio!|~ And Iiiiii-eeee-iii Will always Heal youuuuuu-hooooo! ~|~ I Love Loot 'N Gold! Put a Crystal Coin in my Backpack, Baby! ~|~ I'm Hungry Like the Warwolf ~|~ Keep spending most of our lives, Living in E.K's paradise ~}}","There's a small record that seemingly has an endless aura of sweet tunes playing through its crude speaker, however, something about it seems off. It's the official audio device of RadioGoroma.com.br.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[[RadioGoroma]],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Health Keg,a,great health keg,?,25905,"Plants, Animal Products, Food and Drink",Liquids,-,11.32.5206,no,yes,yes,-,-,-,-,-,-,325.00,no,no,-,-,0,0,-,-,"This item is available in the [[Store]] only. It fills up to 500 [[Great Health Potion]]s. All potions created this way as well as the keg itself will be kept in [[Your Store Inbox]]. A keg is not only useful for providing potions in a hunting ground, it also saves you some capacity as its constant weight equals the net weight of 250 potions. The keg can only be used by the character who purchased it in the Store. For this reason, the potions filled using the keg need to fit the character's vocation and level. Once the keg is empty it will vanish into thin air.\n\n{{Seealso|Cask & Keg Value Effectiveness}}","Before {{OfficialNewsArchive|4795|October 29, 2018}}, its Store price was 87 [[Tibia Coins]].",-,-,yes,-,-,This keg can be used to refill great health potions.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Great Mana Keg,a,great mana keg,?,25910,"Plants, Animal Products, Food and Drink",Liquids,-,11.32.5206,no,yes,yes,-,-,-,-,-,-,325.00,no,no,-,-,0,0,-,-,"This item is available in the [[Store]] only. It fills up to 500 [[Great Mana Potion]]s. All potions created this way as well as the keg itself will be kept in [[Your Store Inbox]]. A keg is not only useful for providing potions in a hunting ground, it also saves you some capacity as its constant weight equals the net weight of 250 potions. The keg can only be used by the character who purchased it in the Store. For this reason, the potions filled using the keg need to fit the character's vocation and level. Once the keg is empty it will vanish into thin air.\n\n{{Seealso|Cask & Keg Value Effectiveness}}","Before {{OfficialNewsArchive|4795|October 29, 2018}}, its Store price was 55 [[Tibia Coins]].",-,-,yes,-,-,This keg can be used to refill great mana potions.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
